Bazaarvoice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All Reviews Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Age;Using Thierry Mugler for;Gender;Received free product;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
145856003;5/21/2016;5/24/2016;M020101006;A*Men Eau de Toilette Refill Bottle;Most attractively distinct scent;My most favourite scent. It lifts my spirits when I feel worn out. Just wonderful.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;mo7i2iruk0dd1ozclwq4xjp06;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Alumind;London, UK;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;56-65;11-25 years;Male;;;;;BV_RATING_SUMMARY;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
142171973;4/6/2016;4/10/2016;M020101025;A*Men Eau de Toilette Refill Bottle;Sexy Scent;I love to smell this colonge on my husband. It smells very clean and sexy!;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101025.html;SITE;APPROVED;;TMGUS011871091;BV_FE_FAMILY:M020101025;M020101025;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;MichelleM;Pembroke Pines, FL;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;3;0;0;;;;;46-55;11-25 years;Female;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
136703344;1/7/2016;1/15/2016;M020101025;A*Men Eau de Toilette Refill Bottle;Awesome;"A*Men has been my favor cologne since it was release many years ago.
Thierry Mugler is and will alway be my favorite scent manufacturer.
I highly recommend any other of the fragrances for Men & Women are of all ages.";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101025.html;SITE;APPROVED;;TMGUSCRM076730;BV_FE_FAMILY:M020101025;M020101025;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;SilverMountainJoe;Millerton, NY;1;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;6;0;0;;;;;56-65;11-25 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
136180368;12/26/2015;1/6/2016;M020101006;A*Men Eau de Toilette Refill Bottle;es el mejor regalos que un hombre pueda apreciar;es uno o el mejor perfume para un hombre llo usaba polo pero cuando senti el olor de este perfume me enamore de el y me compres tres en las tienda meycy en manhatan newyork;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;HOSTED_AUTHENTICATION_EMAIL;REJECTED;FL;31bbo8gthk5j4nzduloc9ryrq;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;polo;New York, NY, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;4-10 years;Male;;;;;BV_RATING_SUMMARY;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
134875997;12/14/2015;12/16/2015;M020101006;A*Men Eau de Toilette Refill Bottle;aprilsunset;"looking for love? just put it on and walk into the room...
you will be found!!..";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;aacpechopiqrr07tavuylslqj;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;april5579;Savannah, GA, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;3;0;0;;;;;46-55;11-25 years;Male;;;;;BV_RATING_SUMMARY;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
132280284;10/24/2015;10/26/2015;M020101006;A*Men Eau de Toilette Refill Bottle;Great product;I love wearing it and I get a lot of compliments when I do.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS011191130;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Robert74;Arizona;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;3;0;0;;;;;66 or over;1-3 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
123608011;7/12/2015;7/13/2015;M020101006;A*Men Eau de Toilette Refill Bottle;Love it.;I purchased this item for my son's Father Day gift. He's been wearing this fragrance for years and gets so many compliments. He jokes and tells everyone his wife feel in love with him because of how he smelled. :) Needless to say, Angel Man is my daughter-in-law's favorite fragrance for her man.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS013026091;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Julie;Calimesa, CA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;2;0;0;;;;;66 or over;4-10 years;Female;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
115932070;3/20/2015;3/21/2015;M020101006;A*Men Eau de Toilette Refill Bottle;Couldn't Live Without It;"I've worn A*Men for over 10 years. If I had a dollar for each time someone has complimented me about this wonderful fragrance, I'd be an exceedingly rich man. Seriously? There's one lady who - promise, here - each and every time she sees me walk into a room? She runs over to smell my neck! :)

Plain and simply - couldn't live without A*Men in my life. It's that wonderful.";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGUS00580730;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;jimcordell;Galveston, TX;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;3;0;0;;;;;46-55;4-10 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
104067908;11/23/2014;11/25/2014;M020101006;A*Men Eau de Toilette Refill Bottle;There is Nothing that can compare to A*Men;"I have been using ONLY A*MEN for over 15 years. There is nothing that matches this fragrance. It is unique, not over powering, discently milded and the best ever made. When I walk thru a store and a Rep wants me to try some new fragrance, I put up my arms as DON""T YOU DARE. I only use A*men.";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;TMGCIRCLE5716;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Larryinnyc;New York, NY, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;6;0;0;;;;;46-55;11-25 years;Male;;;;;BV_RATING_SUMMARY;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
97525531;8/25/2014;9/1/2014;M020101006;A*Men Eau de Toilette Refill Bottle;A*Men;I have been using this product for a long time, I do not know when the product was launched to the market ( it would be great to know), even there had been many other new fragances in the market, I have never found anyone like this. It fits with my skin PH... I do not know.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;SITE;APPROVED;;1423180;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;Manuel;Chile;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;2;1;0;;;;;46-55;11-25 years;Male;;;;;BV_RATING_SUMMARY;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
