Bazaarvoice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All Reviews Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Age;Using Mugler for;Gender;Received an incentive for this review;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
195527000;1/17/2018;1/17/2018;M020003087;A*Men Eau de Parfum Seducing Offer;A men;Really pleased with this product. Good value for money, smells lovely, lasts all day.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;TMGUK004544958;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;Charlotte14;;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;4-10 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
195331988;1/13/2018;1/13/2018;M020003087;A*Men Eau de Parfum Seducing Offer;;First time my husband has tried the mugler range and he loves it ,so do i.Long lasting smell which is what you need .Great price ! He will defiently be a mugler coustomer from now on.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;TMGUK004494907;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;Top 25;;Getaway17;GB;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;Less than 1 year;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
195171531;1/9/2018;1/10/2018;M020003087;A*Men Eau de Parfum Seducing Offer;Mmmm Yummy;This has one of those ....snuggle into your man and breathe in and enjoy those masculine, warm delicious notes. Nowhere better on earth to be in that moment. But hey, this is what Mugler does best in my opinion. Create scents that speak to our soul. Love them !;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;TMGUK00047657;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;Top 100;;ChilternLion;Bedfordshire, UK;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;46-55;11-25 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
194196866;12/14/2017;12/15/2017;M020003087;A*Men Eau de Parfum Seducing Offer;Bliss in a Bottle;What can I say that we don't already know? A*Men smells absolutely gorgeous! I personally think it is one of the best scents around for men. I certainly recommend it, it's suitable for any occasion and any man wearing it will smell divine!;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;TMGUK00295355;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;anabellalemon;Leeds, UK;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;46-55;4-10 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
193011473;11/15/2017;11/16/2017;M020003087;A*Men Eau de Parfum Seducing Offer;Good;I bought this as I just wanted a small bottle for work. Great price, great fragrance, would of been 5 stars apart from its not refillable.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;TMGUK004131361;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;Bry67;Lincoln, UK;0;Yes;Yes;4;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;46-55;1-3 years;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
191762114;10/22/2017;10/23/2017;M020003087;A*Men Eau de Parfum Seducing Offer;A Great Masculine Scent!;"I bought this product for a family member and it was the first time he had tried it. 

He loves the scent and will he buying it again!";https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;TMGUK004355369;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;Top 100;;Carrie42;Manchester, UK;0;Yes;Yes;4;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;;11-25 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
182867484;7/13/2017;7/14/2017;M020003087;A*Men Eau de Parfum Seducing Offer;Sensual Earthiness;Thierry Mugler is the French perfumier par excellence. This blockbuster aroma is a daring mix of bakeries, chocolatiers and hot tarmac, to name but three. How does it possibly work? I haven't a clue - but it assuredly does - in spades. Rich and powerful, it sits on the skin as friendly as balm. Sensual. Earthy. Yes, it's the matrix for other Mugler delights such as Pure Tonka/ Malt/ Leather/ Etc. Etc. but I keep on coming back to Numero Uno - The Classico. It lasts for ever, a constant reminder that whatever goes wrong at least you are smelling like a dream. Its undoubted masculine credentials enshrine a definite metrosexual vibe - altogether delightful. Oh how I love A*MEN. Amen.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;abfT7T8M9fLnSx6fhMOgcLrMIu;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;Orlandomorph;County Durham UK;1;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;66 or over;11-25 years;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
181436583;6/21/2017;6/21/2017;M020003087;A*Men Eau de Parfum Seducing Offer;Lovely scent;A present for my husband. Its a unique fragrance, warm and cosy also a great size for travel. A little goes a long way and should last a while.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-parfum-seducing-offer-M020003087.html;SITE;APPROVED;;TMGUK003847864;BV_FE_FAMILY:M020003087;M020003087;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;Top 10;;Scentlover;Merseyside, UK;0;Yes;Yes;4;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;11-25 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
212619994;9/8/2019;9/9/2019;M020101001;A*Men Eau de Toilette Metal Flask;Warm and lingering;I bought this as a gift for my dad who has a large collection of fragrances and he loved it. It is a warm, sweet, somewhat spicy oriental gourmand scent with enormous sillage. The flask bottle is of excellent quality too.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-toilette-metal-flask-M020101001.html;OTHER;APPROVED;;TMGUK004622883;BV_FE_FAMILY:M020101001;M020101001;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;Balestrina;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;26-35;11-25 years;Female;;Yes;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;21167-en_gb;
204748139;11/22/2018;11/23/2018;M020101001;A*Men Eau de Toilette Metal Flask;Still my favourite.;My parents purchased A*Men for me one Christmas several years ago and it’s still my favourite. The mix of smells is just lovely and it lasts for hours. I have just treated myself to this metal flask version as it looks so good and is refillable. A wonderful eau de toilette.;https://www.mugler.co.uk/fragrance/men/a-men/fragrances/a-men-eau-de-toilette-metal-flask-M020101001.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;i3makftc81gwq1qrc1m4uws0e;BV_FE_FAMILY:M020101001;M020101001;;Fragrances;amen-perfumes;Fragrance;fragrance;Fragrance > Men > A*Men > Fragrances;MUGLER;;;;;;Mark;UK;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;56-65;11-25 years;Male;;;;;BV_RATING_SUMMARY;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
