Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Âge;Department;Utilise des produits Mugler depuis;Sexe;A reçu un produit gratuit;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
109346356;1/13/2015;1/18/2015;M020101019;A*Men Edition Or;Excellent;"Je viens de commander ce flacon or pour remplacer le précédent en version argent que j'ai depuis 5 ans, je suis super content de ma commande! Très beau coffret, reçu en 48h seulement!!
Seulement dommage qu'il ne soit pas ressourçable avec le nouveau flacon Eco-source...";http://www.mugler.fr/a-men-edition-or/M020101019.html;SITE;APPROVED;;TMGFRCRM195469;BV_FE_FAMILY:M020101019;M020101019;;Parfums;M4111;Parfum;4000;Parfum > Parfum homme > Parfum A*Men > Parfums;thierrymugler-fr_fr;;;;;;SebastienK;Levallois-Perret, France;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;1;0;;;;;19-25;;4-10 ans;Masculin;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
211720907;8/1/2019;8/2/2019;M020003098;A*Men Kryptomint;Super frais pour l’été.;Habitué au Pur Malt l’hiver, Kriptomint est parfait pour se parfumer au soleil ;https://www.mugler.fr/parfums/offres-speciales/soldes/a-men-kryptomint-M020003098.html;OTHER;APPROVED;;TMGFR014864102;BV_FE_FAMILY:M020003098;M020003098;;Soldes;sales;Parfums;fragrance;Parfums > Offres Spéciales > Soldes;MUGLER;;;;;;Axelle 13;;0;Yes;Yes;4;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;;Plus de 25 ans;Féminin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
195788424;1/23/2018;1/23/2018;M020003098;A*Men Kryptomint;j'adorre ce parfum;un super parfum découvert a Paris l'année dernière j'en suis a mon 2eme flacon et 2 autres flacons neuf en stock car édition limité;https://www.mugler.fr/parfums/offres-speciales/soldes/a-men-kryptomint-M020003098.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;7jltlivfex5tsjzz59f2rz2ea;BV_FE_FAMILY:M020003098;M020003098;;Soldes;sales;Parfums;fragrance;Parfums > Offres Spéciales > Soldes;MUGLER;;;;;;noel;Corny sur Moselle;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;3;0;0;;;;;36-45;Moselle;1-3 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
195383437;1/14/2018;1/14/2018;M020003098;A*Men Kryptomint;TRES APPRECIE;Commandé pour Noël pour mon fils (20 ans), j'appréhendais d'acheter un parfum sur internet sans l'avoir senti ! mais fan des parfums Mugler depuis des années, j'ai tenté... et aucun regret, mon fils me dit sans arrêt qu'il l'adore ! J'ai aimé le visuel avec cette couleur originale, et le parfum l'est aussi.;https://www.mugler.fr/parfums/offres-speciales/soldes/a-men-kryptomint-M020003098.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;eb87j4me0rxt1s7cneg5fud79;BV_FE_FAMILY:M020003098;M020003098;;Soldes;sales;Parfums;fragrance;Parfums > Offres Spéciales > Soldes;MUGLER;;;;;;NanouR;95290 L'Isle-Adam, France;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;6;0;0;;;;;46-55;ValdOise;Plus de 25 ans;Féminin;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
169489019;1/22/2017;1/24/2017;M020101009;A*Men Pure Coffee;une tres bonne fragance;"contrairement à la nouvelle déclinaison de Amen ""Fève Tonka"" qui est trop fort; cette version café est fort agréable. C'était au départ une édition limitée, sont ce les derniers flacons ou bien une édition qui va perdurer au fil des saisons sur le site?
A acheter sans hésiter si vous aimez l
attention PAS DE MINIATURE PAS D ECHANTILLONS MIS A PART LES PRODUITS VEDETTE";http://www.mugler.fr/a-men-pure-coffee/M020101009.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;2vlg1q8dtmsxf1rx4192kfool;BV_FE_FAMILY:M020101009;M020101009;;Parfums;M4111;Parfum;4000;Parfum > Parfum homme > Parfum A*Men > Parfums;MUGLER;;;;;;bernardG;toulouse;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;;11-25 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
158478249;11/5/2016;11/8/2016;M020101009;A*Men Pure Coffee;Aucun échantillon ! Regrettable.;"Ce parfum, comme tous ceux de la gamme Mugler homme doit réellement valoir le détour, mais comme c'est une exclusivité internet, et que, selon le service client, il n'y a pas d'échantillons de ce parfum ...
Bonne chance à celui qui achètera un parfum en se basant uniquement sur l'argumentaire d'une page web...";http://www.mugler.fr/a-men-pure-coffee/M020101009.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;lh4z4olnpifkjap3szr3x3jou;BV_FE_FAMILY:M020101009;M020101009;;Parfums;M4111;Parfum;4000;Parfum > Parfum homme > Parfum A*Men > Parfums;MUGLER;;;;;;Valentin;Strasbourg;0;Yes;No;2;No;;;;;;;0;0;0;0;0;0;0;0;0;;;;;19-25;;4-10 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
145187335;5/7/2016;5/10/2016;M020101009;A*Men Pure Coffee;Parfait;"Découvert il y a quelques années, ce parfum évoque un mélange de café et de amen...
Une très belle réussite, un rtravail d orfèvre.les dérivés d A*men permettent de se parfumer au A*men sans porter A*men.
Superbe idée .";http://www.mugler.fr/a-men-pure-coffee/M020101009.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;hq0n17dc2ndrixrn07f6arr3v;BV_FE_FAMILY:M020101009;M020101009;;Parfums;M4111;Parfum;4000;Parfum > Parfum homme > Parfum A*Men > Parfums;MUGLER;;;;;;Greg;Marseille;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;36-45;;4-10 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
114044720;3/3/2015;3/3/2015;M020101009;A*Men Pure Coffee;ce produiot a une douceur et laisse une odeur qui;"qui me plait à l'extrême. je n'ai eu qu'un echantillon et je ne le trouve pas dans les parfumeries. je trouve cela fort regrétable car il avait pris la place de mon ancien parfum ""sport extreme de kenzo"" j'espère pouvoir trouver votre parfum pure coffe";http://www.mugler.fr/a-men-pure-coffee/M020101009.html;SITE;APPROVED;;TMGFR011603967;BV_FE_FAMILY:M020101009;M020101009;;Parfums;M4111;Parfum;4000;Parfum > Parfum homme > Parfum A*Men > Parfums;MUGLER;;;;;;lade;orthez 64;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;4;2;0;;;;;46-55;;;Masculin;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
214379939;11/13/2019;11/13/2019;M020101013;A*Men Pure Havane Eau de Toilette;;;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-pure-havane-eau-de-toilette-M020101013.html;OTHER;APPROVED;;TMGFR014864102;BV_FE_FAMILY:M020101013;M020101013;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;Yes;Axelle 13;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;;Plus de 25 ans;Féminin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
211787533;8/4/2019;8/4/2019;M020101013;A*Men Pure Havane Eau de Toilette;Suoer;"Super, très puissant, un parfum au top du top.
Je recommande";https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-pure-havane-eau-de-toilette-M020101013.html;OTHER;APPROVED;;TMGFR015089473;BV_FE_FAMILY:M020101013;M020101013;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;Benjamin88;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;19-25;;1-3 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
